numero,numero2,output,timestamp
4,4,8,2025-05-22 15:57:39.930698
8,8,16,2025-05-22 15:57:46.684617
16,16,32,2025-05-22 15:57:54.276788
32,32,64,2025-05-22 15:58:03.183575
64,64,128,2025-05-22 15:58:11.624801
128,128,256,2025-05-22 15:58:16.664478
256,256,512,2025-05-22 15:58:25.054812
512,512,512,2025-05-22 15:58:30.746646
512,512,1024,2025-05-22 15:58:32.328638
1024,1024,2048,2025-05-22 15:58:40.255485
2048,2048,2048,2025-05-22 15:58:46.859721
2048,2048,4096,2025-05-22 15:59:09.034943
4096,4096,8192,2025-05-22 15:59:21.848124
8192,8192,16384,2025-05-22 15:59:30.821033
16384,16384,32768,2025-05-22 15:59:37.229363
32768,32768,65536,2025-05-22 15:59:43.832769
65536,65536,131072,2025-05-22 15:59:57.547657
131072,131072,262144,2025-05-22 16:00:09.242589
262144,262144,524288,2025-05-22 16:00:18.300688
524288,524288,1048576,2025-05-22 16:00:33.651703
524288,524288,1048576,2025-05-22 16:01:12.954669
